index,reason,year,transect
2,Year 2014 (40% below median visits),2014,fond l'etang
3,Year 2014 (40% below median visits),2014,fond l'etang
4,Year 2014 (40% below median visits),2014,fond l'etang
5,Year 2014 (40% below median visits),2014,fond l'etang
6,Year 2014 (40% below median visits),2014,fond l'etang
7,Year 2014 (40% below median visits),2014,fond l'etang
8,Year 2014 (40% below median visits),2014,fond l'etang
9,Year 2014 (40% below median visits),2014,fond l'etang
10,Year 2014 (40% below median visits),2014,fond l'etang
11,Year 2014 (40% below median visits),2014,fond l'etang
12,Year 2014 (40% below median visits),2014,fond l'etang
13,Year 2014 (40% below median visits),2014,fond l'etang
14,Year 2014 (40% below median visits),2014,fond l'etang
15,Year 2014 (40% below median visits),2014,fond l'etang
16,Year 2014 (40% below median visits),2014,fond l'etang
17,Year 2014 (40% below median visits),2014,fond l'etang
18,Year 2014 (40% below median visits),2014,fond l'etang
19,Year 2014 (40% below median visits),2014,fond l'etang
20,Year 2014 (40% below median visits),2014,fond l'etang
21,Year 2014 (40% below median visits),2014,fond l'etang
22,Year 2014 (40% below median visits),2014,fond l'etang
23,Year 2014 (40% below median visits),2014,fond l'etang
24,Year 2014 (40% below median visits),2014,fond l'etang
25,Year 2014 (40% below median visits),2014,fond l'etang
26,Year 2014 (40% below median visits),2014,fond l'etang
27,Year 2014 (40% below median visits),2014,fond l'etang
28,Year 2014 (40% below median visits),2014,fond l'etang
29,Year 2014 (40% below median visits),2014,fond l'etang
30,Year 2014 (40% below median visits),2014,fond l'etang
31,Year 2014 (40% below median visits),2014,fond l'etang
32,Year 2014 (40% below median visits),2014,fond l'etang
33,Year 2014 (40% below median visits),2014,fond l'etang
34,Year 2014 (40% below median visits),2014,fond l'etang
35,Year 2014 (40% below median visits),2014,fond l'etang
36,Year 2014 (40% below median visits),2014,fond l'etang
37,Year 2014 (40% below median visits),2014,fond l'etang
38,Year 2014 (40% below median visits),2014,fond l'etang
39,Year 2014 (40% below median visits),2014,fond l'etang
40,Year 2014 (40% below median visits),2014,fond l'etang
41,Year 2014 (40% below median visits),2014,fond l'etang
42,Year 2014 (40% below median visits),2014,fond l'etang
43,Year 2014 (40% below median visits),2014,fond l'etang
44,Year 2014 (40% below median visits),2014,fond l'etang
45,Year 2014 (40% below median visits),2014,fond l'etang
46,Year 2014 (40% below median visits),2014,fond l'etang
47,Year 2014 (40% below median visits),2014,fond l'etang
48,Year 2014 (40% below median visits),2014,fond l'etang
