year,richness,abundance_total,shannon,simpson_1mD,abundance_total_ci,richness_ci,shannon_ci,simpson_1mD_ci
2015,64,17319.0,3.0484108293043883,0.9268846650933994,"(16896.9, 17752.325)","(58.0, 64.0)","(2.9865914476579905, 3.0785493625804095)","(0.9224798022032688, 0.9301859083515633)"
2016,74,22888.0,3.045182175238757,0.926048593573789,"(22457.975, 23405.375)","(67.0, 73.0)","(3.005562581557011, 3.0737939057913652)","(0.9226341959874157, 0.9293677876326617)"
2017,71,20520.285714285714,3.0169305755196754,0.925106689076817,"(20022.85714285714, 20987.953571428574)","(63.0, 70.0)","(2.965758122107743, 3.0507380509311246)","(0.9211228367467588, 0.9284325083864333)"
2018,71,20325.0,2.9945552499516754,0.9230163689976383,"(19833.975, 20897.025)","(64.0, 70.0)","(2.9516757241154625, 3.0225872375733416)","(0.918896654627221, 0.9264267798586948)"
2019,70,21015.333333333332,3.011231155536355,0.9244958840068043,"(20509.016666666666, 21575.508333333335)","(63.0, 69.0)","(2.9626776840423297, 3.0387776170601235)","(0.9199763270519845, 0.9274763854119527)"
2020,67,21986.0,3.03966213519659,0.9280238156565632,"(21379.925, 22615.924999999996)","(61.0, 67.0)","(2.980522255816042, 3.076306226339985)","(0.9238801641150923, 0.9314927085359909)"
2021,67,23925.0,3.039925024846465,0.9286827990203625,"(23344.675, 24574.175)","(59.0, 66.0)","(2.9852953755970075, 3.0736098752002294)","(0.9246083824302397, 0.9320292232657055)"
2022,66,24417.0,3.0305241778628678,0.9295129089316039,"(23870.925, 25039.225)","(60.0, 65.0)","(2.9822389677576986, 3.0576089608313044)","(0.9262286947329058, 0.9323591589285561)"
2023,67,22269.0,3.0530518949690415,0.9302769388072487,"(21789.75, 22885.025)","(59.0, 66.0)","(3.0109348897592225, 3.079178145249465)","(0.9272084438830558, 0.9328545624724216)"
2024,67,21591.0,3.0300882498760737,0.9272845145516375,"(21112.75, 22071.05)","(62.0, 67.0)","(2.9841920060229077, 3.0566363766859737)","(0.9236160939886223, 0.9300034257251731)"
2025,71,20763.0,3.0934977510712436,0.9332053070695638,"(20046.925, 21484.05)","(62.975, 69.0)","(3.0283383301217643, 3.122731629621938)","(0.9291029064491665, 0.9366312417289111)"
