year,indicator,loess_fitted,loess_ci_low,loess_ci_high
2015,richness,64.66893030766478,63.999999999988496,76.99999999991418
2016,richness,67.04858204231374,64.59999999999995,74.00000000003261
2017,richness,69.43135562855502,66.55393821722475,73.02499999998294
2018,richness,70.51553573615259,66.96999999994607,72.12248831559093
2019,richness,69.30206638947784,66.98499999997549,71.0
2020,richness,68.08386089023881,66.0,70.0
2021,richness,67.05398487049472,65.97713458916014,70.0
2022,richness,66.71290905418627,65.66249999997315,70.0
2023,richness,67.16428373243892,65.98749999999991,70.01249999999999
2024,richness,68.50758064657253,65.97500000000015,70.75
2025,richness,69.91972958235628,65.96250000000038,71.00000000001506
2015,abundance_total,17570.725191687838,17318.98929318529,23512.2222222182
2016,abundance_total,18678.400709761238,18243.083333333147,22888.00000000779
2017,abundance_total,19795.06704176813,19167.16666666666,22888.0
2018,abundance_total,20658.52532129388,20044.666666681496,22647.381547055975
2019,abundance_total,21253.51573900961,20325.0,23652.831250000796
2020,abundance_total,22240.86997232673,20667.67135398198,23931.46609026422
2021,abundance_total,22512.991189447,20946.161810317968,24417.000000000076
2022,abundance_total,22577.889385830276,21013.75625,25126.55062712883
2023,abundance_total,22401.431696840777,21012.179166666665,24898.000000035976
2024,abundance_total,21567.55187067689,20763.0,27332.384378446484
2025,abundance_total,20749.18553183543,20632.11593792592,27050.154695178448
2015,shannon,3.0519560901570304,2.994555249951673,3.0555351836550613
2016,shannon,3.0363162844876355,2.9945552499516754,3.0456417582994466
2017,shannon,3.0217434596161197,2.994555249951673,3.0449113516612436
2018,shannon,3.015404482867331,2.9925135386932333,3.043164146450885
2019,shannon,3.018340566017015,2.994555249951856,3.0414118740181486
2020,shannon,3.0271011089827597,3.006103474927633,3.041033452526712
2021,shannon,3.0358657432007745,3.011231155536355,3.060492379158446
2022,shannon,3.0409126523895385,3.011231155536355,3.0746704244349354
2023,shannon,3.0500176184928893,3.020876026494158,3.075769057095792
2024,shannon,3.067980065822647,3.0211446271150053,3.125078094955027
2025,shannon,3.0855993420163923,3.0166775897062865,3.1010314834369828
2015,simpson_1mD,0.926901358121439,0.9230163689976383,0.9280238156565632
2016,simpson_1mD,0.9260139521701958,0.9230163689976383,0.9280238156565632
2017,simpson_1mD,0.925119525029874,0.923016368997638,0.9280238156565632
2018,simpson_1mD,0.9255585232602103,0.9228205725980091,0.9280238156565632
2019,simpson_1mD,0.9269215278290756,0.9240627897756897,0.9281725350915169
2020,simpson_1mD,0.9279262693586948,0.9244958840068042,0.9292271789096995
2021,simpson_1mD,0.9287059824272029,0.9244958840068043,0.9302769388072207
2022,simpson_1mD,0.9294936831691202,0.9244958840068043,0.9302769388072487
2023,simpson_1mD,0.9305816889050341,0.9267174930063143,0.9311668470317193
2024,simpson_1mD,0.9318398969436522,0.9272845145509591,0.9332053070695638
2025,simpson_1mD,0.9330979762956758,0.9267649201181816,0.9332182859249152
