ESPECE,year,count_sum,presence_rate,n_rows,count_sum_ci_low,count_sum_ci_high,presence_ci_low,presence_ci_high
Aigrette neigeuse,2015,20.0,0.8461538461538461,13,9.0,36.049999999999955,0.6153846153846154,1.0
Aigrette neigeuse,2016,45.0,1.0,23,35.0,57.0,1.0,1.0
Aigrette neigeuse,2017,42.0,1.0,17,26.950000000000003,62.02499999999998,1.0,1.0
Aigrette neigeuse,2018,38.0,0.92,25,29.0,48.02499999999998,0.8,1.0
Aigrette neigeuse,2019,47.0,0.9615384615384616,26,32.0,66.02499999999998,0.8846153846153846,1.0
Aigrette neigeuse,2020,29.0,1.0,18,22.0,38.0,1.0,1.0
Aigrette neigeuse,2021,27.0,0.9333333333333333,15,16.0,41.049999999999955,0.8,1.0
Aigrette neigeuse,2022,19.0,0.9333333333333333,15,14.0,24.0,0.8,1.0
Aigrette neigeuse,2023,24.0,1.0,17,20.0,29.0,1.0,1.0
Aigrette neigeuse,2024,34.0,0.875,24,26.0,44.0,0.7083333333333334,1.0
Aigrette neigeuse,2025,43.0,1.0,17,25.0,66.02499999999998,1.0,1.0
Colombe rouviolette,2015,43.0,0.9736842105263158,38,39.0,49.0,0.9210526315789473,1.0
Colombe rouviolette,2016,89.0,1.0,66,80.0,99.0,1.0,1.0
Colombe rouviolette,2017,72.14285714285714,1.0,64,67.14285714285714,79.1642857142857,1.0,1.0
Colombe rouviolette,2018,67.0,1.0,61,63.0,73.02499999999998,1.0,1.0
Colombe rouviolette,2019,70.0,1.0,61,65.0,77.0,1.0,1.0
Colombe rouviolette,2020,73.0,1.0,64,66.0,80.0,1.0,1.0
Colombe rouviolette,2021,85.0,1.0,76,80.0,91.0,1.0,1.0
Colombe rouviolette,2022,84.0,1.0,73,78.0,92.0,1.0,1.0
Colombe rouviolette,2023,86.0,1.0,77,80.975,93.02499999999998,1.0,1.0
Colombe rouviolette,2024,76.0,1.0,66,69.0,87.0,1.0,1.0
Colombe rouviolette,2025,72.0,1.0,64,65.0,82.0,1.0,1.0
Elénie siffleuse,2015,1321.0,0.9984917043740573,663,1260.95,1382.025,0.995475113122172,1.0
Elénie siffleuse,2016,1819.0,1.0,872,1719.0,1953.1749999999997,1.0,1.0
