ESPECE,rain_p_value,rain_significant,rain_effect_size,cloud_p_value,cloud_significant,cloud_effect_size,mean_count,total_visits
Tyran gris,0.07511075515227103,False,0.06914061884989858,2.677669284362842e-05,True,0.057608794219851586,1.8031114871216396,7092
Elénie siffleuse,1.1896759167261174e-06,True,0.2817421468194575,0.30469818383660763,False,-0.027306897948889165,2.1142887518605145,9406
Moqueur des savanes,0.9254208088518899,False,-0.006019984258490238,0.0680308464731876,False,-0.0033471619973274255,1.4591480446927374,2864
Quiscale merle,0.21503282337819637,False,-0.03081574578973231,4.003042529266727e-09,True,-0.00611325544779274,4.310658406798508,8394
Sporophile cici,0.8938665823114776,False,0.005238937882022072,0.4364298463071632,False,-0.024045858332567,2.2472892053730376,6179
Colibri huppé,0.03746200302634279,True,0.11051761926484382,0.4609850369678967,False,0.007642510969154471,1.2543246227456755,2717
Merle à lunettes,0.013885740377472507,True,0.1379574666478392,0.014669134060063628,True,-0.02914010761010807,1.5908844275637548,5529
Sucrier à ventre jaune,7.004161199175172e-07,True,0.16555199804932638,2.6138261886297928e-15,True,-0.06864103329386971,2.7232860972807353,10444
Colibri madère,0.07997305665289685,False,0.07483115080111184,0.6928498671346337,False,-0.011342099091381057,1.4629854368932038,1648
Viréo à moustaches,0.6998111896020242,False,0.17625892694363154,0.023110716504311492,True,-0.04241975152285815,1.5864371047083625,5692
Moqueur grivotte,0.4605173673341918,False,0.012438309781382901,0.31173206322230834,False,0.01114908861446273,1.2441831373530148,2284
Sporophile rougegorge,3.574473080756871e-05,True,0.1495890263070432,0.0014720863554637394,True,0.03935529475430178,2.1715802552806958,8853
Coulicou manioc,0.3041539058039547,False,0.0726013562189092,0.005507147645924993,True,-0.06594422798631387,1.0765765765765767,888
Tyran janeau,0.5900466238100781,False,0.07419337149679771,0.000921813946398222,True,-0.09802932314188212,1.2142142142142143,999
Sporophile curio,,,,0.611982541875836,False,-0.023013573350224255,1.2196969696969697,528
Colombe rouviolette,0.3300169979886378,False,-0.06109855056692605,0.438921832778133,False,-0.041799800531746444,1.1509054325955734,710
Trochilidae,0.04253219926295016,True,0.16156721151425354,0.11691509381297169,False,-0.07172866638640042,1.2271944922547333,913
Organiste louis-d'or,,,,0.7720164474899025,False,0.042845911946276516,1.2568807339449541,109
Paruline jaune,0.08317832460291386,False,0.0875022146837586,0.7027246264942084,False,-0.011760644368387098,1.2341561040693796,2998
Solitaire siffleur,0.9956094642631521,False,-0.03249885137149397,0.2708271856812853,False,0.056703376691544696,1.4028871391076116,762
Trembleur gris,0.3253340606679743,False,0.101601895975504,0.5060481275722728,False,-0.019492112042180192,1.224056603773585,424
